"Story","Title","Result","Date","Stability","Duration (s)"
"Beli","User click buy button","SUCCESS","2022-11-08T21:09:49.6542375+07:00[Asia/Bangkok]","0.0","16.93"
"Cart","Add item to cart","SUCCESS","2022-11-08T21:10:07.059966+07:00[Asia/Bangkok]","0.0","8.52"
"Cart","Reduce item to cart","SUCCESS","2022-11-08T21:10:15.8648514+07:00[Asia/Bangkok]","0.0","8.06"
"Login","Login with null email and password","SUCCESS","2022-11-08T21:10:24.3010982+07:00[Asia/Bangkok]","0.0","4.73"
"Login","Login with valid email and password","SUCCESS","2022-11-08T21:10:29.5327551+07:00[Asia/Bangkok]","0.0","3.34"
"Login","Login with invalid email and password","SUCCESS","2022-11-08T21:10:33.0206629+07:00[Asia/Bangkok]","0.0","4.53"
"Login","Login with valid email and invalid password","SUCCESS","2022-11-08T21:10:37.737759+07:00[Asia/Bangkok]","0.0","4.19"
"Login","Login with invalid email and valid password","SUCCESS","2022-11-08T21:10:42.059855+07:00[Asia/Bangkok]","0.0","4.16"
"Login","Login with valid email and null password","SUCCESS","2022-11-08T21:10:46.3943528+07:00[Asia/Bangkok]","0.0","4.11"
"Login","Login with null email and valid password","SUCCESS","2022-11-08T21:10:50.6589297+07:00[Asia/Bangkok]","0.0","4.1"
"Login","Login with invalid email and null password","SUCCESS","2022-11-08T21:10:54.9103383+07:00[Asia/Bangkok]","0.0","3.97"
"Login","Login with null email and invalid password","SUCCESS","2022-11-08T21:10:59.0001314+07:00[Asia/Bangkok]","0.0","3.78"
"Logout","Logout with no account","SUCCESS","2022-11-08T21:11:02.9441037+07:00[Asia/Bangkok]","0.0","3.07"
"Logout","Logout with logged in account","SUCCESS","2022-11-08T21:11:06.2055973+07:00[Asia/Bangkok]","0.0","3.08"
"Register","Register with null nama, email and password","SUCCESS","2022-11-08T21:11:09.4253036+07:00[Asia/Bangkok]","0.0","4.7"
"Register","Register with valid nama, null email and null password","SUCCESS","2022-11-08T21:11:14.2606538+07:00[Asia/Bangkok]","0.0","4.35"
"Register","Register with valid nama, valid email, and null password","SUCCESS","2022-11-08T21:11:18.7428392+07:00[Asia/Bangkok]","0.0","4.62"
"Register","Register with null nama, null email, and valid password","SUCCESS","2022-11-08T21:11:23.4958736+07:00[Asia/Bangkok]","0.0","4.35"
"Register","Register with null nama, valid email, and null password","SUCCESS","2022-11-08T21:11:27.9942148+07:00[Asia/Bangkok]","0.0","4.61"
"Register","Register with null nama, valid email, and valid password","SUCCESS","2022-11-08T21:11:32.7407041+07:00[Asia/Bangkok]","0.0","4.68"
"Register","Register with valid nama, null email, and valid password","SUCCESS","2022-11-08T21:11:37.5553073+07:00[Asia/Bangkok]","0.0","4.1"
"Register","Register with valid nama, valid email, and valid password","SUCCESS","2022-11-08T21:11:41.8044299+07:00[Asia/Bangkok]","0.0","4.52"
